symbo;name;sector
300765;CSPC INNOVATION PHARMACEUTICAL LTD;Health Care
688303;XINJIANG DAQO NEW ENERGY LTD A;Information Technology
002049;UNIGROUP GUOXIN MICROELECTRONICS L;Information Technology
300418;KUNLUN TECH LTD A;Communication
601877;ZHEJIANG CHINT ELECTRICS LTD A;Industrials
605117;NINGBO DEYE TECHNOLOGY LTD A;Industrials
600096;YUNNAN YUNTIANHUA LTD A;Materials
000027;SHENZHEN ENERGY GROUP LTD A;Utilities
603260;HOSHINE SILICON INDUSTRY LTD A;Materials
300316;ZHEJIANG JINGSHENG MECHANICAL & EL;Information Technology
600332;GUANGZHOU BAIYUNSHAN PHARMACEUTICA;Health Care
600398;HLA GROUP CORP A;Consumer Discretionary
600219;SHANDONG NANSHAN ALUMINIUM LTD A;Materials
600642;SHENERGY LTD A;Utilities
601168;WESTERN MINING LTD A;Materials
002223;JIANGSU YUYUE MEDICAL EQUIPMENT &;Health Care
002812;YUNNAN ENERGY NEW MATERIALS LTD A;Materials
002074;GOTION HIGH-TECH LTD A;Industrials
603833;OPPEIN HOME GROUP INC A;Consumer Discretionary
002709;GUANGZHOU TINCI MATERIALS TECHNOLO;Materials
601233;TONGKUN GROUP LTD A;Materials
600061;SDIC CAPITAL LTD A;Financials
688777;SUPCON TECHNOLOGY LTD A;Information Technology
600487;HENGTONG OPTIC ELECTRIC LTD A;Information Technology
601238;GUANGZHOU AUTOMOBILE GROUP LTD A;Consumer Discretionary
600745;WINGTECH TECHNOLOGY LTD A;Information Technology
600733;BAIC BLUEPARK NEW ENERGY TECHNOLOG;Consumer Discretionary
300442;RANGE INTELLIGENT COMPUTING TECHNO;Information Technology
002050;ZHEJIANG SANHUA INTELLIGENT CONTRO;Industrials
601077;CHONGQING RURAL COMMERCIAL BANK LT;Financials
601865;FLAT GLASS GROUP LTD A;Information Technology
600515;HAINAN AIRPORT INFRASTRUCTURE LTD;Real Estate
000408;ZANGGE MINING LTD A;Materials
601878;ZHESHANG SECURITIES LTD A;Financials
688065;CATHAY BIOTECH INC A;Materials
601991;DATANG INTERNATIONAL POWER GENERAT;Utilities
600588;YONYOU NETWORK TECHNOLOGY LTD A;Information Technology
002032;ZHEJIANG SUPOR LTD A;Consumer Discretionary
002532;TIANSHAN ALUMINUM GROUP LTD A;Materials
002180;NINESTAR CORP A;Information Technology
600060;HISENSE VISUAL TECHNOLOGY LTD A;Consumer Discretionary
300661;SG MICRO CORP A;Information Technology
600079;HUMANWELL HEALTHCARE (GROUP) LTD A;Health Care
